LOW LEVEL PATTERN 1: 1; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 2: 0; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 3: 2; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 1: 0; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 2: 0; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 3: 1; SIZE: 1000; THREADS: 10

LOW LEVEL PATTERN 1: 2825; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 2: 3430; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 3: 969; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 1: 845; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 2: 354; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 3: 6179; SIZE: 1000; THREADS: 10

LOW LEVEL PATTERN 1: 9,493; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 3,081; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 5,263; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 549; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 844; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 291; SIZE: 1,000; THREADS: 10

LOW LEVEL PATTERN 1: 2,933; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,370; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 2,802; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 544; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 478; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 305; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 2,818; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,766; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,687; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 454; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 1,637; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 470; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 4,272; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,238; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,514; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 1,498; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 715; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 683; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 2,524; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 2,928; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,253; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 514; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 1,262; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 284; SIZE: 1,000; THREADS: 10 

LOW LEVEL PATTERN 1: 3,012; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 4,172; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,340; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 628; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 709; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 338; SIZE: 1,000; THREADS: 10 

LOW LEVEL PATTERN 1: 3,074; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 3,035; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 3,563; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 5,403; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,041; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 733; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 3,859,997; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 2,369,525; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 850,659; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 4,960,006; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 1,754,967; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 3,842,299; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 2,472; SIZE: 10,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 970; SIZE: 10,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 738; SIZE: 10,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,459; SIZE: 10,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 1,829; SIZE: 10,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 843; SIZE: 10,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 2,700; SIZE: 10,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 899; SIZE: 10,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 711; SIZE: 10,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,383; SIZE: 10,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 1,981; SIZE: 10,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 1,396; SIZE: 10,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 3,051; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 1,082; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 864; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 6,909; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 2,900; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 5,488; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 2,686; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 716; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 1,291; SIZE: 20,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,459; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 961; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 1,080; SIZE: 20,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 0; SIZE: 20,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 2: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 3: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
THREAD POOL PATTERN 1: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 2: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 3: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 

LOW LEVEL PATTERN 1: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 2: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 3: 0; SIZE: 20,000; THREADS: 1; TASKS: 1 
THREAD POOL PATTERN 1: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 2: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 3: 0; SIZE: 20,000; THREADS: 1; TASKS: 20 

LOW LEVEL PATTERN 1: 2; SIZE: 1,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 2: 1; SIZE: 1,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 3: 1; SIZE: 1,000; THREADS: 1; TASKS: 1 
THREAD POOL PATTERN 1: 1; SIZE: 1,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 2: 1; SIZE: 1,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 3: 1; SIZE: 1,000; THREADS: 1; TASKS: 20 

LOW LEVEL PATTERN 1: 633; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 577; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 537; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 554; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 512; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 491; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 1,953; SIZE: 1,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 2: 1,645; SIZE: 1,000; THREADS: 1; TASKS: 1 
LOW LEVEL PATTERN 3: 1,515; SIZE: 1,000; THREADS: 1; TASKS: 1 
THREAD POOL PATTERN 1: 1,757; SIZE: 1,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 2: 1,420; SIZE: 1,000; THREADS: 1; TASKS: 20 
THREAD POOL PATTERN 3: 1,736; SIZE: 1,000; THREADS: 1; TASKS: 20 

LOW LEVEL PATTERN 1: 6,559; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 6,702; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 6,560; SIZE: 2,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 6,864; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 7,080; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 7,084; SIZE: 2,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 6,997; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 6,730; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 6,959; SIZE: 2,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 6,480; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 6,458; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 6,165; SIZE: 2,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 15,129; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 20,919; SIZE: 2,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 23,161; SIZE: 2,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 12,777; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 5,434; SIZE: 2,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 5,702; SIZE: 2,000; THREADS: 10; TASKS: 20 

